id	Age	EduLevel	Gender	ReadAb	Q44	Q63	Q76	Q77	Q84	Q98	Q170	Q196
374	34	4	1	4	3	3	4	4	4	4	4	4
375	41	-999	1	4	3	4	5	4	4	4	5	4
376	-999	1	1	3	2	4	2	3	1	4	2	3
377	-999	2	1	3	4	5	5	4	4	4	5	5
378	-999	1	1	2	3	4	1	3	2	3	4	3
379	34	2	1	3	4	4	2	4	4	4	4	4
382	44	1	1	3	3	2	2	3	2	4	4	3
383	43	2	1	3	3	4	3	4	4	4	-999	3
384	48	3	1	4	5	4	-999	3	3	5	2	3
385	37	1	1	3	3	4	5	4	5	4	3	5
386	38	4	1	4	2	2	1	4	4	4	2	3
387	-999	2	1	3	4	4	2	2	2	4	4	4
388	-999	-999	1	3	2	2	4	2	4	4	2	4
390	23	6	1	4	3	4	3	4	4	3	4	4
391	39	-999	2	4	2	2	2	3	2	4	4	4
392	23	6	1	4	4	5	5	5	3	5	5	4
393	-999	3	1	3	5	5	4	3	3	3	3	3
394	-999	2	1	4	4	3	2	4	4	5	3	4
395	-999	2	1	3	5	2	2	2	4	5	2	2
396	-999	2	2	4	2	2	2	2	2	3	4	2
398	44	2	1	3	2	1	5	2	2	5	4	3
399	-999	2	1	4	5	5	5	4	4	4	5	5
401	34	1	1	3	4	3	1	2	2	4	2	3
402	-999	2	1	4	4	5	4	4	4	4	4	4
403	-999	1	1	3	4	3	2	3	3	4	2	3
404	28	-999	1	4	3	4	2	5	5	4	1	4
407	-999	2	1	3	4	2	4	4	4	4	4	2
408	29	9	1	4	3	3	5	4	3	5	3	5
409	31	3	1	4	4	4	4	5	3	4	4	4
411	-999	2	1	3	4	5	5	5	5	4	5	5
413	-999	3	1	4	5	5	5	5	5	5	5	5
414	28	5	1	4	2	4	2	1	2	3	3	3
415	33	2	1	4	2	4	4	4	4	4	4	4
416	-999	2	1	4	3	3	4	3	3	4	3	3
418	-999	1	1	3	3	4	4	4	4	4	4	4
419	35	2	1	4	5	4	5	4	4	4	4	4
420	25	2	2	4	3	3	5	3	3	4	4	4
421	29	-999	2	3	3	5	3	4	4	5	1	5
422	49	2	1	4	3	4	4	4	3	4	4	5
423	-999	3	2	4	5	4	5	1	2	5	5	4
424	-999	3	2	4	1	3	1	4	3	5	5	5
425	32	3	2	3	3	1	1	-999	2	2	5	3
426	-999	4	2	4	4	4	4	4	3	4	4	4
427	24	5	2	4	3	4	2	4	3	5	5	4
428	-999	4	2	4	3	2	2	3	3	1	3	4
430	-999	2	2	4	5	5	5	2	2	5	5	4
431	38	2	2	4	4	5	4	5	4	5	5	5
432	27	6	1	3	2	4	3	4	4	5	5	5
435	38	6	2	4	3	3	3	3	3	4	4	4
436	29	6	2	4	3	3	3	4	3	5	4	4
437	-999	-999	1	4	3	4	3	4	5	4	3	4
438	-999	2	2	3	3	4	4	5	2	4	5	4
439	-999	2	2	3	3	4	5	4	3	3	5	-999
445	-999	2	1	3	4	4	4	2	2	4	4	3
446	29	2	1	3	4	2	2	4	4	4	3	4
448	53	2	1	3	4	1	4	2	3	4	2	3
449	-999	2	1	3	5	2	2	2	2	4	1	4
451	-999	2	1	4	4	4	4	4	5	5	5	5
452	-999	9	1	4	5	4	5	4	5	5	5	5
453	-999	9	1	3	2	5	1	1	1	1	2	5
454	39	2	1	3	3	4	4	4	4	4	4	4
455	-999	2	2	4	4	5	5	3	2	4	4	4
458	-999	-999	1	4	4	4	4	3	4	4	4	3
459	-999	2	2	3	3	5	3	5	5	3	5	5
460	-999	2	2	3	3	4	2	4	4	4	4	4
461	-999	2	2	4	4	5	5	2	2	5	3	3
462	-999	3	2	3	4	5	2	4	4	4	4	5
463	32	4	1	4	4	5	5	5	4	1	2	4
464	23	5	1	4	4	4	4	5	4	5	5	5
465	-999	2	2	3	3	4	3	3	2	2	3	3
466	-999	9	2	4	5	5	5	4	4	5	4	5
469	-999	4	2	4	2	4	2	5	4	4	5	5
470	-999	4	2	4	5	4	4	4	4	4	5	4
473	-999	2	1	3	4	4	2	5	4	4	4	5
474	-999	2	1	3	4	4	4	2	3	4	3	4
475	35	2	1	4	4	4	5	5	3	4	2	4
476	-999	2	1	3	4	4	3	3	3	3	3	3
479	-999	2	1	3	4	3	4	2	3	4	4	3
481	41	3	1	3	5	5	5	3	4	5	3	4
482	-999	2	2	4	5	5	5	4	3	5	5	5
483	-999	4	2	4	3	4	3	3	4	4	4	3
484	40	2	2	4	3	3	2	3	4	4	5	4
486	31	3	2	4	4	5	3	3	3	4	5	3
487	-999	9	1	3	5	4	5	4	3	5	5	5
489	-999	9	1	3	3	2	2	3	2	3	3	3
492	-999	2	1	4	2	4	2	4	4	4	4	4
495	37	2	1	3	3	3	4	3	3	4	5	3
496	-999	2	1	3	5	5	4	5	5	4	3	4
497	-999	2	2	3	2	1	2	5	3	3	4	4
498	-999	2	2	4	4	4	4	4	4	4	4	5
499	-999	3	1	4	3	5	1	5	3	5	5	4
500	-999	2	1	-999	5	5	5	3	3	5	3	5
502	-999	2	2	4	5	5	4	2	5	5	5	5
503	33	9	-999	4	2	3	3	3	2	3	2	3
504	36	2	2	4	2	4	5	5	3	4	4	4
506	-999	1	1	3	4	4	2	2	2	2	4	4
507	-999	9	1	3	2	4	2	4	4	4	2	4
508	24	3	2	4	5	5	5	4	3	5	5	5
510	-999	5	1	4	3	3	4	4	-999	4	3	4
511	28	3	1	4	2	3	2	4	3	3	4	3
514	-999	5	2	4	3	3	5	4	3	4	4	4
515	-999	2	2	3	2	3	2	2	2	5	3	3
517	-999	2	2	3	4	5	3	4	3	4	4	4
518	-999	3	2	3	3	4	4	4	2	5	3	4
519	-999	1	2	3	4	5	5	5	2	5	4	5
520	-999	3	2	4	4	4	4	3	3	4	3	4
522	-999	4	2	3	3	4	2	3	3	2	3	3
525	-999	2	2	4	3	5	1	4	5	5	5	4
527	54	2	1	4	4	2	2	5	4	2	3	4
529	-999	1	1	3	3	3	3	3	2	3	3	3
530	-999	2	1	3	5	4	5	4	3	4	4	4
531	48	2	1	3	4	4	4	4	4	4	4	4
532	40	3	1	3	1	3	2	2	4	5	3	2
533	-999	1	2	3	3	4	3	3	3	4	5	4
535	-999	2	1	3	1	1	2	4	4	3	5	3
537	-999	2	1	4	3	4	4	4	5	4	4	5
538	-999	2	1	3	4	4	2	2	1	2	2	3
539	-999	3	2	4	5	5	5	5	5	5	5	5
540	-999	2	2	3	2	4	2	2	2	4	4	4
542	31	-999	-999	4	3	3	2	3	4	-999	4	3
544	-999	2	2	4	4	5	5	4	3	5	5	4
545	-999	5	2	4	3	2	2	4	3	3	4	4
546	37	2	2	4	5	5	4	4	4	5	5	1
547	37	5	2	3	3	3	3	2	3	4	3	4
549	-999	-999	-999	-999	5	5	5	4	5	5	5	4
552	41	4	2	4	4	4	5	5	4	4	4	4
553	-999	3	2	3	2	4	4	4	3	4	4	3
555	44	2	2	3	5	3	5	4	4	5	4	4
